StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1003,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,0.1126022544661815,4.0
1005,17,1,0,2,4.6724952729713305,17,1,3,0,0,0,0,1.2880611817953875,4.0
1008,15,1,1,4,15.424496305808074,22,1,1,1,0,0,0,1.360142712316461,4.0
1013,17,0,1,1,10.038711615617212,21,0,3,1,0,0,0,1.520077814874808,4.0
1014,17,0,1,2,12.101425068754876,21,0,4,0,1,0,0,1.7515809583340785,4.0
1016,15,0,0,2,9.728100710723565,17,1,0,0,1,0,0,1.3415207165346672,4.0
1018,18,1,0,0,3.5282382085577235,16,1,2,0,0,0,0,1.3844041756940335,4.0
1019,18,0,1,3,16.25465808609359,29,0,2,1,0,0,1,0.4695533233798704,4.0
1022,15,0,0,2,15.32314203165556,25,0,1,1,0,0,0,0.3468940367050148,4.0
1023,16,1,1,0,18.648879567547016,29,1,1,0,0,0,0,0.3125462305253549,4.0
1024,18,1,3,4,18.94613798473924,20,0,2,1,0,0,0,1.7701318767799732,4.0
1030,18,0,0,2,3.67159254710292,20,0,3,1,0,0,0,1.519441725815139,4.0
1032,15,0,0,3,8.132730537699409,17,0,4,0,0,0,1,1.8475354711387904,4.0
1033,18,0,0,3,7.663289371182516,25,0,1,0,1,0,0,0.3846169728564877,4.0
1034,16,0,3,3,15.89325784795778,21,0,0,1,1,0,0,0.94940609779728,4.0
1035,16,0,0,3,9.126336411019247,27,1,2,1,1,0,0,1.1409594184203395,4.0
1036,15,0,3,1,3.415365200066738,23,0,1,0,0,0,0,0.2614722600507521,4.0
1037,18,0,0,1,5.344197909721482,26,1,1,0,0,0,0,0.2182848568210317,4.0
1038,15,0,2,1,10.18226770375044,21,1,1,0,1,0,0,1.0677635510419796,4.0
1040,17,1,2,1,12.233113512920282,21,1,3,1,1,0,0,1.5268678317927231,4.0
1041,17,1,3,2,11.314946131022918,23,1,1,0,0,0,0,1.0582873996898603,4.0
1049,16,0,1,2,17.90170345532629,17,0,3,0,0,1,0,2.0998851567205854,3.0
1050,16,1,1,1,19.441069492469765,16,0,4,1,0,0,0,2.4610469629080955,3.0
1053,17,1,0,1,18.948559961195865,22,0,4,0,0,1,0,1.5715441913992825,4.0
1055,17,0,0,0,0.1862058152470735,29,1,2,1,1,0,0,0.7562591665741925,4.0
1056,18,0,0,1,8.847874814963872,25,0,2,0,1,0,0,0.8027695392342074,4.0
1057,18,1,0,4,0.9213833935093518,20,0,2,0,1,1,0,1.3423871779577343,4.0
1058,15,0,0,4,10.87755842322235,29,0,3,1,0,0,0,0.2865712882866222,4.0
1060,15,1,3,0,9.468698671880976,23,0,3,0,1,0,0,0.9290125546259368,4.0
1067,18,0,0,4,2.3951993286439444,23,0,3,0,1,0,0,1.0396238791477144,4.0
1068,15,1,0,1,10.638659551055827,28,0,0,0,1,0,0,0.0278186247324679,4.0
1069,18,1,3,2,5.690239194848883,21,1,3,0,0,1,0,1.3299645378768772,4.0
1072,16,1,1,1,17.255415549184512,28,0,3,0,0,1,1,0.7388682028052602,4.0
1076,16,0,0,3,18.28680885332967,17,0,3,0,1,0,0,1.8558655731681932,4.0
1078,18,1,1,3,18.079061303797783,18,1,1,1,1,0,0,2.1317372971872284,3.0
1079,17,1,0,0,6.413255094728645,19,0,1,0,0,0,0,0.9797699107752862,4.0
1080,18,1,3,1,11.046760269110056,25,0,3,0,1,0,0,0.994325023551287,4.0
1082,18,1,2,2,0.8776217673748721,25,0,2,0,0,0,0,0.500508035804656,4.0
1084,18,0,2,1,8.88959955955582,16,0,1,0,1,0,0,1.4633780357856976,4.0
1086,17,1,2,3,3.808269920498204,23,0,3,0,0,0,0,1.1588463344506037,4.0
1087,16,1,0,1,13.399069817184362,20,1,1,1,0,1,1,1.5237487447337323,4.0
1088,15,0,2,1,0.0080308805067974,27,0,1,0,0,1,0,0.0,4.0
1089,18,0,0,1,16.117823383937086,22,0,0,1,0,1,0,1.0586220144439875,4.0
1091,18,0,3,1,3.829792298162389,26,0,1,0,0,0,1,0.1947432807455151,4.0
1094,16,0,3,2,7.099902316278836,16,1,3,0,1,0,0,2.23849135429023,3.0
1096,16,1,2,3,19.278320241463767,29,0,3,0,0,0,1,0.7329082339013866,4.0
1097,16,1,1,1,12.831593624867883,29,0,4,0,0,1,0,0.9654824453045304,4.0
1099,16,0,0,3,8.603518168886264,25,0,2,1,0,1,1,0.7443222999212357,4.0
1100,15,0,0,1,17.500173994879404,24,0,2,0,0,0,0,0.7220565813951911,4.0
1101,17,1,2,1,6.029123728213359,23,1,1,1,1,0,1,1.2712295298373406,4.0
1103,16,0,1,1,15.167695431798355,27,0,3,1,1,0,0,0.9424153953595232,4.0
1104,18,1,0,2,12.120276638721624,20,1,2,0,1,0,0,1.515639098395023,4.0
1105,16,1,1,0,11.406250156530078,29,0,3,1,0,0,0,0.6482739267081915,4.0
1107,16,0,3,1,2.8099801959103465,18,0,0,1,0,0,1,0.8422959992571388,4.0
1109,16,1,2,2,4.156476829176716,24,1,3,1,1,0,0,1.487946865169799,4.0
1114,16,0,0,1,16.8492821367115,18,1,1,0,1,1,0,1.919956439918208,4.0
1117,15,1,2,0,2.122600386180389,21,0,3,1,0,1,0,1.340368647512407,4.0
1118,16,1,2,2,9.855626917299114,16,0,4,0,0,0,0,1.8195113357139088,4.0
1119,18,1,0,1,3.214266983819713,26,0,3,0,1,0,0,0.6193509314675341,4.0
1123,16,0,1,4,7.282421136830108,18,0,2,0,0,0,0,0.9807358437488028,4.0
1130,18,1,0,1,18.274549880129182,22,1,3,0,0,0,0,1.3711850388917164,4.0
1138,15,0,3,2,7.251664251893541,18,0,0,1,0,1,1,1.182987500498048,4.0
1140,15,1,2,3,19.786990280840783,17,1,3,0,0,0,0,2.2379013009826028,3.0
1142,15,1,0,1,13.09814246295718,23,1,0,1,1,0,0,1.0460447710800969,4.0
