StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1007,15,0,1,1,15.601680474699297,10,0,3,0,1,0,0,2.748237414891583,2.0
1009,17,0,0,0,4.562007558047703,1,0,2,0,1,0,1,2.896819189513569,2.0
1014,17,0,1,2,12.101425068754876,21,0,4,0,1,0,0,1.7515809583340785,4.0
1016,15,0,0,2,9.728100710723565,17,1,0,0,1,0,0,1.3415207165346672,4.0
1017,18,0,3,1,10.098656081788002,14,0,2,1,1,0,0,2.232175277715976,3.0
1027,16,0,0,1,10.367992532661304,2,0,2,0,1,0,0,2.948717671911921,2.0
1031,15,0,2,2,5.055317199023282,12,1,0,0,1,0,0,1.727120309522409,4.0
1033,18,0,0,3,7.663289371182516,25,0,1,0,1,0,0,0.3846169728564877,4.0
1034,16,0,3,3,15.89325784795778,21,0,0,1,1,0,0,0.94940609779728,4.0
1035,16,0,0,3,9.126336411019247,27,1,2,1,1,0,0,1.1409594184203395,4.0
1038,15,0,2,1,10.18226770375044,21,1,1,0,1,0,0,1.0677635510419796,4.0
1039,15,1,1,1,2.949078348522698,3,1,1,1,1,0,0,3.0189058584279675,1.0
1040,17,1,2,1,12.233113512920282,21,1,3,1,1,0,0,1.5268678317927231,4.0
1044,18,1,0,1,18.245091222023117,9,0,2,0,1,0,0,2.888891669272444,2.0
1045,18,1,0,1,18.921512361376628,1,1,3,1,1,0,0,4.0,0.0
1054,18,0,0,2,8.46716054701572,13,0,1,0,1,0,0,1.6643106896610833,4.0
1055,17,0,0,0,0.1862058152470735,29,1,2,1,1,0,0,0.7562591665741925,4.0
1056,18,0,0,1,8.847874814963872,25,0,2,0,1,0,0,0.8027695392342074,4.0
1057,18,1,0,4,0.9213833935093518,20,0,2,0,1,1,0,1.3423871779577343,4.0
1059,17,0,0,1,6.771080548741026,9,1,3,0,1,0,0,2.61383869367367,2.0
1060,15,1,3,0,9.468698671880976,23,0,3,0,1,0,0,0.9290125546259368,4.0
1063,15,0,1,3,13.238031529438572,11,0,3,0,1,0,0,2.234238472600233,3.0
1064,15,0,0,1,8.680977369563614,8,0,2,0,1,0,0,2.3858282190764624,3.0
1067,18,0,0,4,2.3951993286439444,23,0,3,0,1,0,0,1.0396238791477144,4.0
1068,15,1,0,1,10.638659551055827,28,0,0,0,1,0,0,0.0278186247324679,4.0
1073,15,0,1,1,3.258053089547881,8,0,2,1,1,0,0,2.556801662833417,2.0
1076,16,0,0,3,18.28680885332967,17,0,3,0,1,0,0,1.8558655731681932,4.0
1078,18,1,1,3,18.079061303797783,18,1,1,1,1,0,0,2.1317372971872284,3.0
1080,18,1,3,1,11.046760269110056,25,0,3,0,1,0,0,0.994325023551287,4.0
1081,17,0,3,1,1.0101494166456426,6,0,1,0,1,0,0,2.0746999767813343,3.0
